TicketID,Date,Weekday,Region,Channel,Category,Priority,AssignedAgent,HandleTimeMinutes,ResolutionHours,SLA_Target_Hours,SLA_Breached,Escalated,FirstContactResolution,CSAT_Score
T100001,2025-02-27,Thursday,North,Chat,Claim Status,Low,Agent_08,15.5,30.9,48,No,No,Yes,2
T100002,2025-02-22,Saturday,North,Chat,Billing,Low,Agent_01,10.4,53.0,48,Yes,No,Yes,1
T100003,2025-04-30,Wednesday,North,Chat,Refund Request,High,Agent_21,15.2,9.6,8,Yes,Yes,No,1
T100004,2025-04-23,Wednesday,West,Chat,Billing,High,Agent_25,10.2,0.5,8,No,No,Yes,3
T100005,2025-08-05,Tuesday,East,Phone,Claim Status,Medium,Agent_25,13.3,15.7,24,No,No,Yes,3
T100006,2025-02-17,Monday,West,Phone,Policy Change,Low,Agent_20,18.7,32.9,48,No,No,No,5
T100007,2025-01-23,Thursday,West,Email,Technical Issue,Medium,Agent_03,31.5,16.5,24,No,No,Yes,2
T100008,2025-07-05,Saturday,South,Chat,Billing,Low,Agent_22,6.0,28.0,48,No,No,Yes,4
T100009,2025-05-29,Thursday,North,Portal,Billing,Low,Agent_13,12.3,33.5,48,No,No,Yes,4
T100010,2025-07-06,Sunday,South,Email,Claim Status,Low,Agent_22,30.0,0.5,48,No,No,Yes,2
T100011,2025-02-06,Thursday,South,Email,Claim Status,Medium,Agent_06,30.1,25.3,24,Yes,No,Yes,3
T100012,2025-05-19,Monday,South,Chat,Billing,High,Agent_08,8.4,4.6,8,No,No,Yes,5
T100013,2025-06-11,Wednesday,West,Phone,Claim Status,High,Agent_19,18.3,5.9,8,No,No,Yes,5
T100014,2025-06-11,Wednesday,South,Chat,Technical Issue,Medium,Agent_21,19.9,25.3,24,Yes,No,No,4
T100015,2025-05-16,Friday,South,Phone,Complaint,Low,Agent_18,23.1,45.1,48,No,No,No,4
T100016,2025-08-08,Friday,West,Email,Claim Status,Medium,Agent_17,26.6,15.0,24,No,No,Yes,3
T100017,2025-01-25,Saturday,North,Phone,Claim Status,Medium,Agent_22,8.1,22.9,24,No,No,Yes,3
T100018,2025-02-02,Sunday,West,Email,Technical Issue,Low,Agent_17,34.8,63.1,48,Yes,No,Yes,1
T100019,2025-01-06,Monday,North,Chat,Complaint,Low,Agent_25,15.9,40.0,48,No,No,Yes,1
T100020,2025-06-24,Tuesday,North,Phone,Claim Status,Low,Agent_15,16.5,0.5,48,No,No,Yes,5
T100021,2025-05-15,Thursday,South,Email,Billing,Low,Agent_21,17.9,37.3,48,No,No,Yes,3
T100022,2025-09-17,Wednesday,South,Phone,Claim Status,Critical,Agent_18,18.5,4.7,4,Yes,No,Yes,3
T100023,2025-01-01,Wednesday,East,Email,Billing,High,Agent_12,29.8,4.9,8,No,No,Yes,1
T100024,2025-06-07,Saturday,South,Phone,Complaint,Low,Agent_03,18.5,27.3,48,No,No,Yes,4
T100025,2025-09-06,Saturday,North,Portal,Complaint,Low,Agent_25,18.3,14.0,48,No,No,Yes,5
T100026,2025-09-01,Monday,South,Phone,Complaint,Critical,Agent_14,16.5,6.8,4,Yes,Yes,Yes,1
T100027,2025-04-13,Sunday,East,Email,Refund Request,Medium,Agent_21,26.7,15.4,24,No,No,Yes,2
T100028,2025-09-22,Monday,West,Phone,Claim Status,Medium,Agent_03,12.2,21.2,24,No,No,Yes,2
T100029,2025-04-28,Monday,South,Phone,Refund Request,Low,Agent_21,13.7,53.9,48,Yes,Yes,No,2
T100030,2025-01-17,Friday,East,Phone,Claim Status,Medium,Agent_09,17.7,35.8,24,Yes,No,Yes,3
T100031,2025-04-20,Sunday,South,Chat,Complaint,Medium,Agent_19,17.9,10.2,24,No,No,No,5
T100032,2025-08-31,Sunday,West,Phone,Billing,Medium,Agent_22,19.0,30.2,24,Yes,No,Yes,1
T100033,2025-08-05,Tuesday,West,Email,Refund Request,Medium,Agent_02,30.1,5.3,24,No,No,No,4
